Entity,Code,Year,2_1_GDPPC_Growth
abc,MLT,1984,71.2344
abc,MLT,1985,62.3359
abc,MLT,1986,170.193
abc,MLT,1987,272.897
abc,MLT,1988,625.45
abc,MLT,1989,637.113
abc,MLT,1990,503.117
abc,MLT,1991,345.65
abc,MLT,1992,376.831
abc,MLT,1993,371.671
abc,MLT,1994,521.297
abc,MLT,1995,655.058
abc,MLT,1996,382.471
abc,MLT,1997,568.069
abc,MLT,1998,590.919
abc,MLT,1999,569.47
abc,MLT,2000,2733.79
abc,MLT,2001,-329.043
abc,MLT,2002,304.074
abc,MLT,2003,582.184
abc,MLT,2004,-94.0645
abc,MLT,2005,481.33
abc,MLT,2006,387.586
abc,MLT,2007,816.787
abc,MLT,2008,609.738
abc,MLT,2009,-374.311
abc,MLT,2010,983.875
abc,MLT,2011,8.68945
abc,MLT,2012,655.176
abc,MLT,2013,849.455
abc,MLT,2014,1215.16
abc,MLT,2015,1635.48
abc,MLT,2016,432.572
abc,MLT,2017,1318.06
abc,MLT,2018,418.699
abc,MLT,2019,398.49
abc,MLT,2020,-2483.66
abc,NLD,1961,-144.91
abc,NLD,1962,753.563
abc,NLD,1963,332.935
abc,NLD,1964,1040.34
abc,NLD,1965,1164.45
abc,NLD,1966,245.473
abc,NLD,1967,723.316
abc,NLD,1968,977.846
abc,NLD,1969,1008.04
abc,NLD,1970,984.924
abc,NLD,1971,658.801
abc,NLD,1972,548.832
abc,NLD,1973,1032.7
abc,NLD,1974,621.062
abc,NLD,1975,-214.486
abc,NLD,1976,873.846
abc,NLD,1977,475.934
abc,NLD,1978,524.012
abc,NLD,1979,339.697
abc,NLD,1980,142.426
abc,NLD,1981,-385.453
abc,NLD,1982,-439.738
abc,NLD,1983,430.004
abc,NLD,1984,689.102
abc,NLD,1985,560.633
abc,NLD,1986,603.781
abc,NLD,1987,357.959
abc,NLD,1988,782.062
abc,NLD,1989,1099.35
abc,NLD,1990,1042.68
abc,NLD,1991,508.6
abc,NLD,1992,297.184
abc,NLD,1993,176.871
abc,NLD,1994,751.57
abc,NLD,1995,856.465
abc,NLD,1996,1018.42
abc,NLD,1997,1316.88
abc,NLD,1998,1448.67
abc,NLD,1999,1625.68
abc,NLD,2000,1350.55
abc,NLD,2001,630.102
abc,NLD,2002,-172.719
abc,NLD,2003,-129.203
abc,NLD,2004,665.281
abc,NLD,2005,751.375
abc,NLD,2006,1390.53
abc,NLD,2007,1546.38
abc,NLD,2008,800.469
abc,NLD,2009,-1911.55
abc,NLD,2010,362.902
abc,NLD,2011,478.809
abc,NLD,2012,-626.34
abc,NLD,2013,-187.668
abc,NLD,2014,466.59
abc,NLD,2015,671.508
abc,NLD,2016,745.383
abc,NLD,2017,1058.56
abc,NLD,2018,829.477
abc,NLD,2019,616.91
abc,NLD,2020,-2098.38
abc,POL,1991,-376.064
abc,POL,1992,104.42
abc,POL,1993,168.47
abc,POL,1994,254.404
abc,POL,1995,366.762
abc,POL,1996,340.245
abc,POL,1997,381.386
abc,POL,1998,292.755
abc,POL,1999,310.242
abc,POL,2000,394.003
abc,POL,2001,94.6387
abc,POL,2002,155.226
abc,POL,2003,271.426
abc,POL,2004,397.391
abc,POL,2005,293.973
abc,POL,2006,531.169
abc,POL,2007,647.936
abc,POL,2008,408.05
abc,POL,2009,280.578
abc,POL,2010,421.373
abc,POL,2011,510.494
abc,POL,2012,150.655
abc,POL,2013,136.719
abc,POL,2014,402.844
abc,POL,2015,519.248
abc,POL,2016,400.76
abc,POL,2017,625.285
abc,POL,2018,728.376
abc,POL,2019,683.757
abc,POL,2020,-355.879
abc,PRT,1961,184.497
abc,PRT,1962,240.899
abc,PRT,1963,237.521
abc,PRT,1964,287.449
abc,PRT,1965,386.336
abc,PRT,1966,256.505
abc,PRT,1967,454.901
abc,PRT,1968,558.943
abc,PRT,1969,198.961
abc,PRT,1970,917.788
abc,PRT,1971,542.552
abc,PRT,1972,671.069
abc,PRT,1973,990.714
abc,PRT,1974,-25.4629
abc,PRT,1975,-778.609
abc,PRT,1976,353.547
abc,PRT,1977,422.369
abc,PRT,1978,168.432
abc,PRT,1979,451.405
abc,PRT,1980,362.192
abc,PRT,1981,80.1318
abc,PRT,1982,164.861
abc,PRT,1983,-70.2656
abc,PRT,1984,-248.036
abc,PRT,1985,271.449
abc,PRT,1986,445.702
abc,PRT,1987,734.644
abc,PRT,1988,926.964
abc,PRT,1989,865.562
abc,PRT,1990,584.323
abc,PRT,1991,671.642
abc,PRT,1992,178.065
abc,PRT,1993,-333.581
abc,PRT,1994,104.641
abc,PRT,1995,595.929
abc,PRT,1996,491.954
abc,PRT,1997,640.785
abc,PRT,1998,724.184
abc,PRT,1999,585.934
abc,PRT,2000,563.191
abc,PRT,2001,230.664
abc,PRT,2002,41.9609
abc,PRT,2003,-248.213
abc,PRT,2004,290.877
abc,PRT,2005,113.715
abc,PRT,2006,277.197
abc,PRT,2007,449.611
abc,PRT,2008,34.8555
abc,PRT,2009,-642.42
abc,PRT,2010,327.082
abc,PRT,2011,-305.18
abc,PRT,2012,-710.225
abc,PRT,2013,-70.4023
abc,PRT,2014,248.498
abc,PRT,2015,417.055
abc,PRT,2016,450.803
abc,PRT,2017,740.576
abc,PRT,2018,616.131
abc,PRT,2019,559.795
abc,PRT,2020,-1845.83
abc,ROU,1991,-607.52
abc,ROU,1992,-348.467
abc,ROU,1993,67.363
abc,ROU,1994,167.739
abc,ROU,1995,275.732
abc,ROU,1996,191.507
abc,ROU,1997,-216.981
abc,ROU,1998,-82.6831
abc,ROU,1999,-9.78223
abc,ROU,2000,115.006
abc,ROU,2001,304.605
abc,ROU,2002,371.555
abc,ROU,2003,161.025
abc,ROU,2004,595.621
abc,ROU,2005,318.002
abc,ROU,2006,546.201
abc,ROU,2007,604.443
abc,ROU,2008,830.25
abc,ROU,2009,-391.409
abc,ROU,2010,-262.602
abc,ROU,2011,183.683
abc,ROU,2012,194.932
abc,ROU,2013,332.765
abc,ROU,2014,333.302
abc,ROU,2015,298.173
abc,ROU,2016,475.847
abc,ROU,2017,750.08
abc,ROU,2018,518.94
abc,ROU,2019,507.692
abc,ROU,2020,-377.173
abc,SVK,1993,100.695
abc,SVK,1994,391.003
abc,SVK,1995,395.508
abc,SVK,1996,482.276
abc,SVK,1997,459.833
abc,SVK,1998,333.989
abc,SVK,1999,-18.3252
abc,SVK,2000,114.714
abc,SVK,2001,306.923
abc,SVK,2002,419.343
abc,SVK,2003,536.856
abc,SVK,2004,539.451
abc,SVK,2005,708.728
abc,SVK,2006,969.852
abc,SVK,2007,1338.7
abc,SVK,2008,753.251
abc,SVK,2009,-808.622
abc,SVK,2010,847.32
abc,SVK,2011,363.907
abc,SVK,2012,176.581
abc,SVK,2013,82.3652
abc,SVK,2014,397.627
abc,SVK,2015,795.333
abc,SVK,2016,294.218
abc,SVK,2017,469.232
abc,SVK,2018,624.484
abc,SVK,2019,437.334
abc,SVK,2020,-806.773
abc,SVN,1996,433.804
abc,SVN,1997,711.698
abc,SVN,1998,505.459
abc,SVN,1999,784.782
abc,SVN,2000,528.841
abc,SVN,2001,496.009
abc,SVN,2002,565.268
abc,SVN,2003,501.445
abc,SVN,2004,764.184
abc,SVN,2005,671.838
abc,SVN,2006,1040.75
abc,SVN,2007,1294.6
abc,SVN,2008,721.951
abc,SVN,2009,-1868.54
abc,SVN,2010,184.42
abc,SVN,2011,134.398
abc,SVN,2012,-589.982
abc,SVN,2013,-234.531
abc,SVN,2014,531.359
abc,SVN,2015,436.332
abc,SVN,2016,651.01
abc,SVN,2017,1022.58
abc,SVN,2018,912.609
abc,SVN,2019,594.914
abc,SVN,2020,-1171.92
abc,ESP,1961,671.503
abc,ESP,1962,616.102
abc,ESP,1963,648.19
abc,ESP,1964,347.816
abc,ESP,1965,433.909
abc,ESP,1966,549.659
abc,ESP,1967,290.548
abc,ESP,1968,509.373
abc,ESP,1969,806.025
abc,ESP,1970,348.03
abc,ESP,1971,388.365
abc,ESP,1972,823.248
abc,ESP,1973,835.265
abc,ESP,1974,602.838
abc,ESP,1975,-75.9375
abc,ESP,1976,310.71
abc,ESP,1977,255.718
abc,ESP,1978,71.5303
abc,ESP,1979,-122.533
abc,ESP,1980,202.094
abc,ESP,1981,-123.694
abc,ESP,1982,93.5244
abc,ESP,1983,187.466
abc,ESP,1984,202.864
abc,ESP,1985,294.41
abc,ESP,1986,453.044
abc,ESP,1987,835.105
abc,ESP,1988,812.123
abc,ESP,1989,815.168
abc,ESP,1990,672.574
abc,ESP,1991,433.527
abc,ESP,1992,84.6211
abc,ESP,1993,-300.771
abc,ESP,1994,363.967
abc,ESP,1995,450.652
abc,ESP,1996,446.809
abc,ESP,1997,668.445
abc,ESP,1998,836.646
abc,ESP,1999,893.049
abc,ESP,2000,1091.28
abc,ESP,2001,769.396
abc,ESP,2002,318.742
abc,ESP,2003,284.363
abc,ESP,2004,343.9
abc,ESP,2005,491.465
abc,ESP,2006,616.479
abc,ESP,2007,456.174
abc,ESP,2008,-193.135
abc,ESP,2009,-1246.39
abc,ESP,2010,-76.5859
abc,ESP,2011,-299.744
abc,ESP,2012,-767.785
abc,ESP,2013,-273.918
abc,ESP,2014,411.084
abc,ESP,2015,970.027
abc,ESP,2016,757.945
