Entity,Code,Year,2_1_GDPPC_Growth
abc,SAU,1991,1974.45
abc,SAU,1992,178.541
abc,SAU,1993,-790.625
abc,SAU,1994,-363.549
abc,SAU,1995,-381.822
abc,SAU,1996,91.6445
abc,SAU,1997,-152.732
abc,SAU,1998,168.734
abc,SAU,1999,-1040.33
abc,SAU,2000,552.947
abc,SAU,2001,-658.305
abc,SAU,2002,-937.657
abc,SAU,2003,1290.09
abc,SAU,2004,835.062
abc,SAU,2005,463.521
abc,SAU,2006,-13.7637
abc,SAU,2007,-173.289
abc,SAU,2008,621.604
abc,SAU,2009,-915.236
abc,SAU,2010,365.67
abc,SAU,2011,1244.89
abc,SAU,2012,436.545
abc,SAU,2013,-74.2461
abc,SAU,2014,152.117
abc,SAU,2015,300.252
abc,SAU,2016,-124.547
abc,SAU,2017,-556.426
abc,SAU,2018,120.824
abc,SAU,2019,-265.904
abc,SAU,2020,-1110.63
abc,SYR,1961,38.5023
abc,SYR,1962,115.838
abc,SYR,1963,-78.2692
abc,SYR,1964,34.7311
abc,SYR,1965,-6.28589
abc,SYR,1966,-66.9428
abc,SYR,1967,26.5128
abc,SYR,1968,1.87463
abc,SYR,1969,87.5038
abc,SYR,1970,-34.3199
abc,SYR,1971,34.094
abc,SYR,1972,145.051
abc,SYR,1973,-110.934
abc,SYR,1974,153.319
abc,SYR,1975,107.651
abc,SYR,1976,82.8782
abc,SYR,1977,-53.1736
abc,SYR,1978,63.1735
abc,SYR,1979,-26.5765
abc,SYR,1980,110.038
abc,SYR,1981,45.9916
abc,SYR,1982,-9.8772
abc,SYR,1983,-15.0298
abc,SYR,1984,-126.195
abc,SYR,1985,59.4651
abc,SYR,1986,-120.515
abc,SYR,1987,-14.8248
abc,SYR,1988,139.358
abc,SYR,1989,-179.648
abc,SYR,1990,6.40869
abc,SYR,1991,42.6143
abc,SYR,1992,95.5118
abc,SYR,1993,34.2699
abc,SYR,1994,47.0171
abc,SYR,1995,47.0391
abc,SYR,1996,81.4084
abc,SYR,1997,27.0275
abc,SYR,1998,50.7823
abc,SYR,1999,-82.2268
abc,SYR,2000,-22.4629
abc,SYR,2001,-13.7562
abc,SYR,2002,25.0583
abc,SYR,2003,65.4396
abc,SYR,2004,58.9619
abc,SYR,2005,43.5132
abc,SYR,2006,17.1871
abc,SYR,2007,19.1636
abc,SYR,2008,7.40662
abc,SYR,2009,47.3689
abc,SYR,2010,67.4093
abc,SYR,2011,67.1902
