Entity,Code,Year,5_0_BattleDeath
1173,NLD,1990,2
1174,NLD,2015,0
1175,NPL,1990,14
1176,NPL,1991,2
1177,NPL,1992,0
1178,NPL,1993,3
1179,NPL,1994,0
1180,NPL,1995,0
1181,NPL,1996,77
1182,NPL,1997,48
1183,NPL,1998,357
1184,NPL,1999,295
1185,NPL,2000,365
1186,NPL,2001,569
1187,NPL,2002,4432
1188,NPL,2003,1732
1189,NPL,2004,2456
1190,NPL,2005,1399
1191,NPL,2006,566
1192,NPL,2007,31
1193,NPL,2008,0
1194,NPL,2009,9
1195,PAK,1989,114
1196,PAK,1990,386
1197,PAK,1991,62
1198,PAK,1992,72
1199,PAK,1993,48
1200,PAK,1994,169
1201,PAK,1995,127
1202,PAK,1996,64
1203,PAK,1997,123
1204,PAK,1998,121
1205,PAK,1999,57
1206,PAK,2000,59
1207,PAK,2001,42
1208,PAK,2002,170
1209,PAK,2003,242
1210,PAK,2004,430
1211,PAK,2005,153
1212,PAK,2006,427
1213,PAK,2007,1366
1214,PAK,2008,4620
1215,PAK,2009,7460
1216,PAK,2010,7226
1217,PAK,2011,3475
1218,PAK,2012,3541
1219,PAK,2013,2914
1220,PAK,2014,3620
1221,PAK,2015,2450
1222,PAK,2016,1100
1223,PAK,2017,954
1224,PAK,2018,483
1225,PAK,2019,293
1226,PAK,2020,409
1227,PAK,2021,448
1228,PAN,1989,920
1229,PER,1989,1945
1230,PER,1990,1228
1231,PER,1991,1353
1232,PER,1992,1189
1233,PER,1993,779
1234,PER,1994,369
1235,PER,1995,274
1236,PER,1996,105
1237,PER,1997,116
1238,PER,1998,33
1239,PER,1999,89
1240,PER,2000,5
1241,PER,2001,21
1242,PER,2002,13
1243,PER,2003,13
1244,PER,2004,3
1245,PER,2005,0
1246,PER,2006,11
1247,PER,2007,32
1248,PER,2008,40
1249,PER,2009,54
1250,PER,2010,29
1251,PER,2011,15
1252,PER,2013,3
1253,PER,2014,14
1254,PER,2015,9
1255,PER,2016,11
1256,PER,2017,7
1257,PER,2019,2
1258,PER,2020,11
1259,PER,2021,20
1260,PHL,1989,984
1261,PHL,1990,1352
1262,PHL,1991,1549
1263,PHL,1992,445
1264,PHL,1993,318
1265,PHL,1994,308
1266,PHL,1995,188
1267,PHL,1996,199
1268,PHL,1997,322
1269,PHL,1998,138
1270,PHL,1999,219
1271,PHL,2000,1761
1272,PHL,2001,792
1273,PHL,2002,763
1274,PHL,2003,1132
1275,PHL,2004,470
1276,PHL,2005,487
1277,PHL,2006,434
1278,PHL,2007,483
1279,PHL,2008,566
1280,PHL,2009,1047
1281,PHL,2010,372
1282,PHL,2011,414
1283,PHL,2012,311
1284,PHL,2013,537
1285,PHL,2014,484
1286,PHL,2015,628
1287,PHL,2016,616
1288,PHL,2017,1708
1289,PHL,2018,436
1290,PHL,2019,364
1291,PHL,2020,375
1292,PHL,2021,309
1293,PNG,1989,14
1294,PNG,1990,61
1295,PNG,1991,29
1296,PNG,1992,61
1297,PNG,1993,40
1298,PNG,1994,26
1299,PNG,1995,33
1300,PNG,1996,106
1301,PNG,1997,12
1302,PNG,1999,60
1303,PNG,2000,13
1304,PNG,2001,65
1305,PNG,2002,7
1306,PNG,2012,57
1307,PNG,2019,28
1308,PNG,2021,38
1309,PRY,1989,150
1310,QAT,2004,0
1311,ROU,1989,448
1312,RUS,1989,160
1313,RUS,1990,393
1314,RUS,1991,340
1315,RUS,1992,1
1316,RUS,1993,145
1317,RUS,1994,485
1318,RUS,1995,1910
1319,RUS,1996,2764
1320,RUS,1997,13
1321,RUS,1998,7
1322,RUS,1999,6197
1323,RUS,2000,4333
1324,RUS,2001,992
1325,RUS,2002,1509
1326,RUS,2003,539
1327,RUS,2004,1317
1328,RUS,2005,688
1329,RUS,2006,260
1330,RUS,2007,182
