Entity,Code,Year,GDP per capita growth (annual %)
Nepal,NPL,2019,4.744512557983398
Nepal,NPL,2020,-3.862987756729126
Oman,OMN,1966,2.4185421466827393
Oman,OMN,1967,61.658939361572266
Oman,OMN,1968,76.67545318603516
Oman,OMN,1969,21.876232147216797
Oman,OMN,1970,10.257682800292969
Oman,OMN,1971,-2.4866576194763184
Oman,OMN,1972,5.946892738342285
Oman,OMN,1973,-17.50352668762207
Oman,OMN,1974,6.8681640625
Oman,OMN,1975,18.778369903564453
Oman,OMN,1976,14.63992977142334
Oman,OMN,1977,-4.196005821228027
Oman,OMN,1978,-8.821529388427734
Oman,OMN,1979,-1.3117917776107788
Oman,OMN,1980,0.293101042509079
Oman,OMN,1981,10.698363304138184
Oman,OMN,1982,5.555749416351318
Oman,OMN,1983,10.583925247192383
Oman,OMN,1984,11.004243850708008
Oman,OMN,1985,8.88308048248291
Oman,OMN,1986,-2.0988211631774902
Oman,OMN,1987,-6.939307689666748
Oman,OMN,1988,2.285985231399536
Oman,OMN,1989,7.7108659744262695
Oman,OMN,1990,-4.043461799621582
Oman,OMN,1991,1.5032989978790283
Oman,OMN,1992,3.520841121673584
Oman,OMN,1993,1.49675452709198
Oman,OMN,1994,0.18619060516357422
Oman,OMN,1995,2.33644437789917
Oman,OMN,1996,1.5539143085479736
Oman,OMN,1997,5.415765762329102
Oman,OMN,1998,2.546617269515991
Oman,OMN,1999,0.196275994181633
Oman,OMN,2000,5.936793327331543
Oman,OMN,2001,3.2542083263397217
Oman,OMN,2002,-2.791015863418579
Oman,OMN,2003,-4.761276721954346
Oman,OMN,2004,-1.1664516925811768
Oman,OMN,2005,-0.19237563014030457
Oman,OMN,2006,2.5342516899108887
Oman,OMN,2007,1.4490561485290527
Oman,OMN,2008,4.510990619659424
Oman,OMN,2009,1.49222993850708
Oman,OMN,2010,-3.8123977184295654
Oman,OMN,2011,-3.7411723136901855
Oman,OMN,2012,1.178381323814392
Oman,OMN,2013,-2.228728771209717
Oman,OMN,2014,-5.308807849884033
Oman,OMN,2015,-0.8913344740867615
Oman,OMN,2016,0.07751618325710297
Oman,OMN,2017,-3.7096517086029053
Oman,OMN,2018,-2.142979621887207
Oman,OMN,2019,-4.021127223968506
Oman,OMN,2020,-5.696061134338379
Philippines,PHL,1961,2.226992130279541
Philippines,PHL,1962,1.4246770143508911
Philippines,PHL,1963,3.566364049911499
Philippines,PHL,1964,0.13717597723007202
Philippines,PHL,1965,2.102907180786133
Philippines,PHL,1966,1.3136507272720337
Philippines,PHL,1967,2.1459052562713623
Philippines,PHL,1968,2.0194904804229736
Philippines,PHL,1969,1.706737756729126
Philippines,PHL,1970,0.7462885975837708
Philippines,PHL,1971,2.3972299098968506
Philippines,PHL,1972,2.445345878601074
Philippines,PHL,1973,5.717374801635742
Philippines,PHL,1974,0.506119966506958
Philippines,PHL,1975,2.5355324745178223
Philippines,PHL,1976,5.803308963775635
Philippines,PHL,1977,2.7012486457824707
Philippines,PHL,1978,2.3558712005615234
Philippines,PHL,1979,2.7508997917175293
Philippines,PHL,1980,2.3619844913482666
Philippines,PHL,1981,0.6278466582298279
Philippines,PHL,1982,0.8983485102653503
Philippines,PHL,1983,-0.8489250540733337
Philippines,PHL,1984,-9.534896850585938
Philippines,PHL,1985,-9.344614028930664
Philippines,PHL,1986,0.7639502286911011
Philippines,PHL,1987,1.6126288175582886
Philippines,PHL,1988,3.9182848930358887
Philippines,PHL,1989,3.4637703895568848
Philippines,PHL,1990,0.49391138553619385
Philippines,PHL,1991,-2.883502721786499
Philippines,PHL,1992,-1.9998936653137207
Philippines,PHL,1993,-0.23292285203933716
Philippines,PHL,1994,1.9443186521530151
Philippines,PHL,1995,2.2215330600738525
Philippines,PHL,1996,3.462008237838745
Philippines,PHL,1997,2.839966297149658
Philippines,PHL,1998,-2.7005767822265625
Philippines,PHL,1999,1.1070213317871094
Philippines,PHL,2000,2.1529934406280518
Philippines,PHL,2001,0.8748739957809448
Philippines,PHL,2002,1.5589650869369507
Philippines,PHL,2003,2.9526915550231934
Philippines,PHL,2004,4.4826765060424805
Philippines,PHL,2005,2.9783709049224854
Philippines,PHL,2006,3.4441745281219482
Philippines,PHL,2007,4.7121405601501465
Philippines,PHL,2008,2.6267030239105225
Philippines,PHL,2009,-0.2116989940404892
Philippines,PHL,2010,5.561000823974609
Philippines,PHL,2011,2.115926742553711
Philippines,PHL,2012,5.090726852416992
Philippines,PHL,2013,4.959414958953857
Philippines,PHL,2014,4.611114025115967
Philippines,PHL,2015,4.681878566741943
Philippines,PHL,2016,5.546712398529053
Philippines,PHL,2017,5.396653175354004
Philippines,PHL,2018,4.867308616638184
Philippines,PHL,2019,4.6803765296936035
Philippines,PHL,2020,-10.781513214111328
Singapore,SGP,1961,4.579753398895264
Singapore,SGP,1962,4.616620063781738
Singapore,SGP,1963,7.294203758239746
Singapore,SGP,1964,-5.5552144050598145
Singapore,SGP,1965,5.245730400085449
Singapore,SGP,1966,7.474069595336914
Singapore,SGP,1967,10.051007270812988
Singapore,SGP,1968,11.586200714111328
Singapore,SGP,1969,12.133500099182129
Singapore,SGP,1970,12.184277534484863
Singapore,SGP,1971,10.371111869812012
Singapore,SGP,1972,11.236028671264648
Singapore,SGP,1973,8.554983139038086
Singapore,SGP,1974,4.366269111633301
Singapore,SGP,1975,2.4743072986602783
Singapore,SGP,1976,5.998934268951416
Singapore,SGP,1977,5.382228374481201
Singapore,SGP,1978,6.481359004974365
Singapore,SGP,1979,8.179862976074219
Singapore,SGP,1980,8.724454879760742
Singapore,SGP,1981,5.614483833312988
Singapore,SGP,1982,2.503484010696411
Singapore,SGP,1983,7.153868198394775
Singapore,SGP,1984,6.755282402038574
Singapore,SGP,1985,-0.7585525512695312
Singapore,SGP,1986,1.4386738538742065
Singapore,SGP,1987,9.144021987915039
Singapore,SGP,1988,8.475655555725098
Singapore,SGP,1989,6.971645355224609
Singapore,SGP,1990,5.631991863250732
Singapore,SGP,1991,3.6954843997955322
Singapore,SGP,1992,3.4836056232452393
Singapore,SGP,1993,8.678350448608398
Singapore,SGP,1994,7.667056560516357
Singapore,SGP,1995,3.9933109283447266
Singapore,SGP,1996,3.190974235534668
Singapore,SGP,1997,4.74351167678833
Singapore,SGP,1998,-5.4622039794921875
Singapore,SGP,1999,4.88248348236084
Singapore,SGP,2000,7.166804313659668
Singapore,SGP,2001,-3.7018682956695557
Singapore,SGP,2002,2.9705581665039062
Singapore,SGP,2003,6.088614463806152
Singapore,SGP,2004,8.453311920166016
Singapore,SGP,2005,4.864974021911621
Singapore,SGP,2006,5.64677095413208
Singapore,SGP,2007,4.573574542999268
Singapore,SGP,2008,-3.410977363586426
Singapore,SGP,2009,-2.8535354137420654
Singapore,SGP,2010,12.514307022094727
Singapore,SGP,2011,4.143781661987305
Singapore,SGP,2012,1.9299408197402954
Singapore,SGP,2013,3.1533308029174805
Singapore,SGP,2014,2.597153902053833
Singapore,SGP,2015,1.7739077806472778
Singapore,SGP,2016,1.9970656633377075
Singapore,SGP,2017,4.427820205688477
Singapore,SGP,2018,3.012477397918701
Singapore,SGP,2019,0.19215083122253418
Singapore,SGP,2020,-5.095470428466797
South Korea,KOR,1961,3.8095548152923584
South Korea,KOR,1962,0.9666423797607422
South Korea,KOR,1963,6.026425838470459
South Korea,KOR,1964,6.647769451141357
South Korea,KOR,1965,4.624622344970703
South Korea,KOR,1966,9.213102340698242
South Korea,KOR,1967,6.562089443206787
South Korea,KOR,1968,10.570155143737793
South Korea,KOR,1969,11.99747085571289
South Korea,KOR,1970,7.675052642822266
South Korea,KOR,1971,8.387642860412598
South Korea,KOR,1972,5.221768856048584
South Korea,KOR,1973,12.884442329406738
South Korea,KOR,1974,7.652190685272217
South Korea,KOR,1975,6.041234970092773
South Korea,KOR,1976,11.428154945373535
South Korea,KOR,1977,10.598201751708984
South Korea,KOR,1978,9.280130386352539
South Korea,KOR,1979,7.035259246826172
South Korea,KOR,1980,-3.1666204929351807
